direcao,nota_media
Andrew Lane,4.8999999999999995
Andrew Lau,5.7
Andrew Lauer,3.966666666666667
Andrew Lawrence,3.0
Andrew Legatt,4.0
Andrew Leman,7.2
Andrew Levitas,6.800000000000001
Andrew Librizzi,7.3
Andrew MacKenzie,6.366666666666667
Andrew Marton,6.0307692307692315
"Andrew Mecham, Matthew Whedon",4.2
Andrew Meieran,5.5
Andrew Moorman,5.1
Andrew N. Shearer,1.8
Andrew Nackman,6.7
Andrew Neel,5.0
Andrew Niccol,6.75
Andrew Okpeaha MacLean,6.3
Andrew P. Jones,5.0
Andrew Papke,3.9
Andrew Paquin,4.3
Andrew Patrick Torrez,2.2
Andrew Patterson,4.8999999999999995
Andrew Pozza,3.4
Andrew Prowse,3.0999999999999996
Andrew Putschoegl,5.6
Andrew Renzi,5.1
Andrew Repasky McElhinney,3.7
Andrew Robertson,5.0
Andrew Robinson,5.8
Andrew Scheinman,6.1
Andrew Schuth,2.55
Andrew Semans,5.6
Andrew Shea,5.7
Andrew Sipes,4.3
Andrew Stanton,7.5
"Andrew Stanton, Angus MacLane",7.3
Andrew Stevens,4.18
"Andrew Stevens, Jim Wynorski",2.8
Andrew Sugerman,4.3
"Andrew Tan, Michael Goguen",5.9
Andrew V. McLaglen,6.2105263157894735
Andrew Van Slee,3.733333333333333
Andrew Wagner,6.0
Andrew Waller,5.7
Andrew Warren,3.5
Andrew Weiner,4.2
Andrew Wiest,3.7
Andrew van den Houten,4.699999999999999
Andrews Jenkins,6.1
Andrey Konchalovskiy,6.55
"Andrey Konchalovskiy, Albert Magnoli",6.4
Andrzej Bartkowiak,5.949999999999999
Andrzej Krakowski,5.6
Andrzej Mrotek,2.2
Andrzej Sekula,4.1
André De Toth,6.609090909090909
André Gordon,4.1
"André Gordon, Dale Fabrigar",3.0
André Szöts,3.5
"Andrés Garretón, Meredith Scott Lynn",3.0
Andy Anderson,5.533333333333334
Andy Cadiff,5.2
Andy Cheng,4.0
Andy Dick,4.5
Andy Fickman,5.5
Andy Garcia,6.6
Andy Goddard,5.3
"Andy Kirshner, Debbie Williams",4.9
Andy Milligan,4.1899999999999995
Andy Mitton,5.7
